faction,gameSystem,spellId,name,type,threshold,effect,effectSkirmish,spellbookId
Mummified Undead,age-of-fantasy-quest,rdiUv,Vengeance,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Ogres,age-of-fantasy-quest,kk4L4,Gorge,1,1,"Target 4 friendly units within 12"" get Furious next time they charge.","Target 4 friendly units within 12"" get Furious next time they charge.",8ACAf
Ogres,age-of-fantasy-quest,2dOT_,Gobble,0,1,"Target enemy model within 6"" takes 1 hit with AP(4).","Target enemy model within 6"" takes 1 hit with AP(4).",QO6Oj
Ogres,age-of-fantasy-quest,EvHxn,Crack,2,2,"Target 4 enemy units within 18"" get -1 to hit rolls next time they shoot.","Target 4 enemy units within 18"" get -1 to hit rolls next time they shoot.",EGmug
Ogres,age-of-fantasy-quest,ccQGP,Crush,0,2,"Target 2 enemy units within 12"" take 2 hits each.","Target 2 enemy units within 12"" take 2 hits each.",6LaIv
Ogres,age-of-fantasy-quest,TYbaE,Guts,1,3,"Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.",qel4I
Ogres,age-of-fantasy-quest,GVU_x,The Maw,0,3,Target enemy unit within 12” takes 6 hits.,Target enemy unit within 12” takes 6 hits.,2R1eh
Orcs,age-of-fantasy-quest,d0bG6,Evil Gaze,1,1,"Target 4 friendly units within 12"" get Stealth next time they are shot at.","Target 4 friendly units within 12"" get Stealth next time they are shot at.",Dy8JS
Orcs,age-of-fantasy-quest,0YHv1,Burst,0,1,Target enemy unit within 9” takes 1 hit with Blast(3).,Target enemy unit within 9” takes 1 hit with Blast(3).,_fl49
Orcs,age-of-fantasy-quest,lzJON,Magic Fists,1,2,"Target 4 friendly units within 12"" get Rending next time they fight in melee.","Target 4 friendly units within 12"" get Rending next time they fight in melee.",Irkg9
Orcs,age-of-fantasy-quest,f5mYY,Headbutt,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Orcs,age-of-fantasy-quest,sski4,Let’s Go,1,3,"Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.",qel4I
Orcs,age-of-fantasy-quest,giYEK,Godly Foot,0,3,"Target enemy unit within 12"" takes 3 hits with AP(2).","Target enemy unit within 12"" takes 3 hits with AP(2).",cJZ_-
Ossified Undead,age-of-fantasy-quest,0IHO_,Enslave,2,1,"Target 2 enemy units within 18"" get -1 to hit rolls next time they fight in melee.","Target 2 enemy units within 18"" get -1 to hit rolls next time they fight in melee.",ZPTPD
Ossified Undead,age-of-fantasy-quest,P9WqK,Undermine,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Ossified Undead,age-of-fantasy-quest,23rCn,Command,1,2,"Target 4 friendly units within 12"" get +2"" next time they Advance, or +4"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +2"" next time they Advance, or +4"" next time they Rush/Charge.",qel4I
Ossified Undead,age-of-fantasy-quest,iEsAC,Deadly Contract,0,2,"Target enemy model within 12"" takes 1 hit with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Ossified Undead,age-of-fantasy-quest,jDRuO,Drain,2,3,"Target 4 enemy units within 18"" get -1 to hit rolls next time they shoot.","Target 4 enemy units within 18"" get -1 to hit rolls next time they shoot.",EGmug
Ossified Undead,age-of-fantasy-quest,f9ADc,Deception,0,3,"Target 2 enemy units within 12"" take 3 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
Outskirt Raiders,age-of-fantasy-quest,mDQC1,Wild Form,1,1,"Target 2 friendly units within 12"" get +1 to hit rolls next time they fight in melee.","Target 2 friendly units within 12"" get +1 to hit rolls next time they fight in melee.",0PTkA
Outskirt Raiders,age-of-fantasy-quest,E_13N,Fireball,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Outskirt Raiders,age-of-fantasy-quest,ogSJI,Protection,1,2,"Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.","Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.",sbSJb
Outskirt Raiders,age-of-fantasy-quest,I3TPt,Leech,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Outskirt Raiders,age-of-fantasy-quest,iwF2-,Magic Wind,1,3,"Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.",qel4I
Outskirt Raiders,age-of-fantasy-quest,zzJRc,Blood Hex,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Plague Disciples,age-of-fantasy-quest,JBTgx,Blessed Virus,1,1,"Target 4 friendly units within 12"" get Stealth next time they are shot at.","Target 4 friendly units within 12"" get Stealth next time they are shot at.",Dy8JS
Plague Disciples,age-of-fantasy-quest,hauSD,Muscular Atrophy,0,1,Target enemy unit within 9” takes 1 hit with Blast(3).,Target enemy unit within 9” takes 1 hit with Blast(3).,_fl49
Plague Disciples,age-of-fantasy-quest,3ByuR,Putrefaction,1,2,"Target 4 friendly units within 12"" get AP(+1) next time they fight in melee.","Target 4 friendly units within 12"" get AP(+1) next time they fight in melee.",gd3uG
Plague Disciples,age-of-fantasy-quest,vSuME,Plague Curse,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Plague Disciples,age-of-fantasy-quest,XYw43,Pestilence,2,3,"Target 4 enemy units within 18"" move -3"" next time they Advance, or -6"" next time they Charge/Rush.","Target 4 enemy units within 18"" move -3"" next time they Advance, or -6"" next time they Charge/Rush.",tnhFl
Plague Disciples,age-of-fantasy-quest,wKLGz,Rot Wave,0,3,"Target enemy unit within 12"" takes 3 hits with AP(2).","Target enemy unit within 12"" takes 3 hits with AP(2).",cJZ_-
Ratmen,age-of-fantasy-quest,PldYq,Filth,1,1,"Target 4 friendly units within 12"" get Poison next time they fight in melee.","Target 4 friendly units within 12"" get Poison next time they fight in melee.",9aOrY
Ratmen,age-of-fantasy-quest,9WbsT,Cracks,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Ratmen,age-of-fantasy-quest,DnGjg,Sickness,2,2,"Target 4 enemy units within 18"" get -1 to hit rolls next time they shoot.","Target 4 enemy units within 18"" get -1 to hit rolls next time they shoot.",EGmug
Ratmen,age-of-fantasy-quest,9olwC,Lightning,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Ratmen,age-of-fantasy-quest,ZoaQR,Frenzy,1,3,"Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.",qel4I
Ratmen,age-of-fantasy-quest,zY114,Pestilence,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Rift Daemons of Change,age-of-fantasy-quest,NoUXs,Breath of Change,1,1,"Target 4 friendly units within 12"" get +1"" next time they Advance, or +2"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +1"" next time they Advance, or +2"" next time they Rush/Charge.",qel4I
Rift Daemons of Change,age-of-fantasy-quest,o7wR7,Blaze,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Rift Daemons of Change,age-of-fantasy-quest,C7o9-,Steal Power,2,2,"Target 4 enemy units within 18"" get -1 to hit rolls next time they shoot.","Target 4 enemy units within 18"" get -1 to hit rolls next time they shoot.",EGmug
Rift Daemons of Change,age-of-fantasy-quest,cu5MA,Inferno,0,2,Target enemy unit within 18” takes 1 hit with Blast(3).,Target enemy unit within 18” takes 1 hit with Blast(3).,_fl49
Rift Daemons of Change,age-of-fantasy-quest,3ajfB,Loyalty,1,3,"Target 6 friendly units within 12"" get Regeneration next time they take wounds.","Target 6 friendly units within 12"" get Regeneration next time they take wounds.",JYSJ7
Rift Daemons of Change,age-of-fantasy-quest,o5PK5,Bolt of Change,0,3,"Target enemy unit within 12"" takes 1 hit with AP(4) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(4) and Deadly(3).",tNVWP
Rift Daemons of Lust,age-of-fantasy-quest,hEwY0,Acquiescence,2,1,"Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.","Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.",EGmug
Rift Daemons of Lust,age-of-fantasy-quest,ygs3s,Seizure,0,1,"Target enemy unit within 12"" takes 1 hit with Deadly(3).","Target enemy unit within 12"" takes 1 hit with Deadly(3).",tNVWP
Rift Daemons of Lust,age-of-fantasy-quest,iLecu,Pleasure,1,2,"Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.","Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.",sbSJb
Rift Daemons of Lust,age-of-fantasy-quest,JQL2J,Pain,0,2,"Target enemy model within 12"" takes 1 hit with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Rift Daemons of Lust,age-of-fantasy-quest,g5Pm-,Ecstasy,1,3,"Target 4 friendly units within 12"" get +3 to hit rolls next time they charge.","Target 4 friendly units within 12"" get +3 to hit rolls next time they charge.",YKUHf
Rift Daemons of Lust,age-of-fantasy-quest,OyF32,Overpower,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Rift Daemons of Plague,age-of-fantasy-quest,J49Dl,Blessed Virus,1,1,"Target 4 friendly units within 12"" get Stealth next time they are shot at.","Target 4 friendly units within 12"" get Stealth next time they are shot at.",Dy8JS
Rift Daemons of Plague,age-of-fantasy-quest,NLQai,Muscular Atrophy,0,1,Target enemy unit within 9” takes 1 hit with Blast(3).,Target enemy unit within 9” takes 1 hit with Blast(3).,_fl49
Rift Daemons of Plague,age-of-fantasy-quest,QTyGH,Putrefaction,1,2,"Target 4 friendly units within 12"" get AP(+1) next time they fight in melee.","Target 4 friendly units within 12"" get AP(+1) next time they fight in melee.",gd3uG
Rift Daemons of Plague,age-of-fantasy-quest,wOq34,Plague Curse,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Rift Daemons of Plague,age-of-fantasy-quest,RoTN4,Pestilence,2,3,"Target 4 enemy units within 18"" move -3"" next time they Advance, or -6"" next time they Charge/Rush.","Target 4 enemy units within 18"" move -3"" next time they Advance, or -6"" next time they Charge/Rush.",tnhFl
Rift Daemons of Plague,age-of-fantasy-quest,tB0nB,Rot Wave,0,3,"Target enemy unit within 12"" takes 3 hits with AP(2).","Target enemy unit within 12"" takes 3 hits with AP(2).",cJZ_-
Rift Daemons of War,age-of-fantasy-quest,jLEBT,Melt Armor,2,1,"Target 2 enemy units within 18"" get -1 to defense rolls next time they take hits.","Target 2 enemy units within 18"" get -1 to defense rolls next time they take hits.",fXthP
Rift Daemons of War,age-of-fantasy-quest,RDJmq,Headchop,0,1,"Target enemy model within 6"" takes 1 hit with AP(4).","Target enemy model within 6"" takes 1 hit with AP(4).",QO6Oj
Rift Daemons of War,age-of-fantasy-quest,x63P6,Fiery Defense,1,2,"Target 4 friendly units within 12"" get Counter next time they are charged.","Target 4 friendly units within 12"" get Counter next time they are charged.",iX6gb
Rift Daemons of War,age-of-fantasy-quest,cm7ec,Slaughter,0,2,"Target enemy unit within 12"" takes 2 hits with AP(2).","Target enemy unit within 12"" takes 2 hits with AP(2).",cJZ_-
Rift Daemons of War,age-of-fantasy-quest,YsVNA,Wings of War,1,3,"Target 6 friendly units within 12"" get Flying next time they move.","Target 6 friendly units within 12"" get Flying next time they move.",hULCg
Rift Daemons of War,age-of-fantasy-quest,IaJa-,Massacre,0,3,Target enemy unit within 12” takes 6 hits.,Target enemy unit within 12” takes 6 hits.,2R1eh
Saurians,age-of-fantasy-quest,xJxyx,Scrutiny,2,1,"Target 2 enemy units within 18"" get -1 to hit rolls next time they fight in melee.","Target 2 enemy units within 18"" get -1 to hit rolls next time they fight in melee.",ZPTPD
Saurians,age-of-fantasy-quest,mjhEg,Serpent Egg,0,1,Target enemy unit within 12” takes 2 hits.,Target enemy unit within 12” takes 2 hits.,2R1eh
Saurians,age-of-fantasy-quest,ws-kt,Energy Reservoir,1,2,"Target 4 friendly units within 12"" get +2"" next time they Advance, or +4"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +2"" next time they Advance, or +4"" next time they Rush/Charge.",qel4I
Saurians,age-of-fantasy-quest,4TEQZ,Jaguar Pounce,0,2,"Target enemy model within 12"" takes 1 hit with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Saurians,age-of-fantasy-quest,Sg0ow,Transcend,1,3,"Target 6 friendly units within 12"" get Regeneration next time they take wounds.","Target 6 friendly units within 12"" get Regeneration next time they take wounds.",JYSJ7
Saurians,age-of-fantasy-quest,yxooH,Piranha Swarm,0,3,"Target 2 enemy units within 12"" take 3 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
Shadow Stalkers,age-of-fantasy-quest,H-7Tm,Haunted,2,1,"Target 4 enemy units within 18"" get -1 to their next morale test roll.","Target 4 enemy units within 18"" get -1 to their next morale test roll.",lz4dh
Shadow Stalkers,age-of-fantasy-quest,J4KaX,Spectral Light,0,1,Target enemy unit within 12” takes 2 hits.,Target enemy unit within 12” takes 2 hits.,2R1eh
Shadow Stalkers,age-of-fantasy-quest,0sKLD,Cobweb,1,2,"Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.","Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.",sbSJb
Shadow Stalkers,age-of-fantasy-quest,hkaOy,Chill of Death,0,2,"Target enemy model within 12"" takes 1 hit with AP(4).","Target enemy model within 12"" takes 1 hit with AP(4).",QO6Oj
Shadow Stalkers,age-of-fantasy-quest,Z0ZTA,Possessed,2,3,"Target 4 enemy units within 18"" move -3"" next time they Advance, or -6"" next time they Charge/Rush.","Target 4 enemy units within 18"" move -3"" next time they Advance, or -6"" next time they Charge/Rush.",tnhFl
Shadow Stalkers,age-of-fantasy-quest,o3jjA,Thorn Vines,0,3,"Target 2 enemy units within 12"" take 3 hits each.","Target 2 enemy units within 12"" take 3 hits each.",6LaIv
Shortling Alliances,age-of-fantasy-quest,mDQC1,Wild Form,1,1,"Target 2 friendly units within 12"" get +1 to hit rolls next time they fight in melee.","Target 2 friendly units within 12"" get +1 to hit rolls next time they fight in melee.",0PTkA
Shortling Alliances,age-of-fantasy-quest,E_13N,Fireball,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Shortling Alliances,age-of-fantasy-quest,ogSJI,Protection,1,2,"Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.","Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.",sbSJb
Shortling Alliances,age-of-fantasy-quest,I3TPt,Leech,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Shortling Alliances,age-of-fantasy-quest,iwF2-,Magic Wind,1,3,"Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.",qel4I
Shortling Alliances,age-of-fantasy-quest,zzJRc,Blood Hex,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Sky-City Dwarves,age-of-fantasy-quest,13t_r,Wind Rune,1,1,"Target 4 friendly units within 12"" get +1"" next time they Advance, or +2"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +1"" next time they Advance, or +2"" next time they Rush/Charge.",qel4I
Sky-City Dwarves,age-of-fantasy-quest,LAKWL,Aether Shock,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Sky-City Dwarves,age-of-fantasy-quest,EBeNi,Tinker,1,2,"Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.","Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.",sbSJb
Sky-City Dwarves,age-of-fantasy-quest,yK5k_,Sledge Shock,0,2,"Target 2 enemy units within 12"" take 2 hits each.","Target 2 enemy units within 12"" take 2 hits each.",6LaIv
Sky-City Dwarves,age-of-fantasy-quest,-vMOe,Sky-Sight,1,3,"Target 4 friendly units within 12"" get +18"" range next time they shoot.","Target 4 friendly units within 12"" get +18"" range next time they shoot.",OetpX
Sky-City Dwarves,age-of-fantasy-quest,KC8Jd,Sky Shock,0,3,Target enemy unit within 12” takes 6 hits.,Target enemy unit within 12” takes 6 hits.,2R1eh
Trade Federations,age-of-fantasy-quest,mDQC1,Wild Form,1,1,"Target 2 friendly units within 12"" get +1 to hit rolls next time they fight in melee.","Target 2 friendly units within 12"" get +1 to hit rolls next time they fight in melee.",0PTkA
Trade Federations,age-of-fantasy-quest,E_13N,Fireball,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Trade Federations,age-of-fantasy-quest,ogSJI,Protection,1,2,"Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.","Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.",sbSJb
Trade Federations,age-of-fantasy-quest,I3TPt,Leech,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Trade Federations,age-of-fantasy-quest,iwF2-,Magic Wind,1,3,"Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.",qel4I
Trade Federations,age-of-fantasy-quest,zzJRc,Blood Hex,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Treasure Hunters,age-of-fantasy-quest,mDQC1,Wild Form,1,1,"Target 2 friendly units within 12"" get +1 to hit rolls next time they fight in melee.","Target 2 friendly units within 12"" get +1 to hit rolls next time they fight in melee.",0PTkA
Treasure Hunters,age-of-fantasy-quest,E_13N,Fireball,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Treasure Hunters,age-of-fantasy-quest,ogSJI,Protection,1,2,"Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.","Target 4 friendly units within 12"" get +1 to defense rolls next time they take hits.",sbSJb
Treasure Hunters,age-of-fantasy-quest,I3TPt,Leech,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Treasure Hunters,age-of-fantasy-quest,iwF2-,Magic Wind,1,3,"Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.",qel4I
Treasure Hunters,age-of-fantasy-quest,zzJRc,Blood Hex,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Vampiric Undead,age-of-fantasy-quest,X3TWI,Vigour,1,1,"Target 2 friendly units within 12"" get +1 to hit rolls next time they fight in melee.","Target 2 friendly units within 12"" get +1 to hit rolls next time they fight in melee.",0PTkA
Vampiric Undead,age-of-fantasy-quest,7Ifyg,Spectral Wind,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Vampiric Undead,age-of-fantasy-quest,AO6nk,Dance of Death,1,2,"Target 4 friendly units within 12"" get +2"" next time they Advance, or +4"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +2"" next time they Advance, or +4"" next time they Rush/Charge.",qel4I
Vampiric Undead,age-of-fantasy-quest,OFfqR,Deadly Gaze,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Vampiric Undead,age-of-fantasy-quest,N7F6l,Invocation,1,3,"Target 6 friendly units within 12"" get Regeneration next time they take wounds.","Target 6 friendly units within 12"" get Regeneration next time they take wounds.",JYSJ7
Vampiric Undead,age-of-fantasy-quest,VkNpe,Curse,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Volcanic Dwarves,age-of-fantasy-quest,EEGaB,Auric Fury,1,1,"Target 4 friendly units within 12"" get +1"" next time they Advance, or +2"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +1"" next time they Advance, or +2"" next time they Rush/Charge.",qel4I
Volcanic Dwarves,age-of-fantasy-quest,B7EB9,Suffocating Ashes,0,1,"Target 2 enemy units within 12"" take 1 hit each.","Target 2 enemy units within 12"" take 1 hit each.",6LaIv
Volcanic Dwarves,age-of-fantasy-quest,E3rV1,Seismic Shift,1,2,"Target 4 friendly units within 12"" get Flying next time they move.","Target 4 friendly units within 12"" get Flying next time they move.",hULCg
Volcanic Dwarves,age-of-fantasy-quest,pzb3O,Fire Storm,0,2,Target enemy unit within 12” takes 4 hits.,Target enemy unit within 12” takes 4 hits.,2R1eh
Volcanic Dwarves,age-of-fantasy-quest,NsiAb,Searing Heat,2,3,"Target 4 enemy units within 18"" get -2 to hit rolls next time they fight in melee.","Target 4 enemy units within 18"" get -2 to hit rolls next time they fight in melee.",ZPTPD
Volcanic Dwarves,age-of-fantasy-quest,wdMly,Lava Bolts,0,3,"Target enemy model within 12"" takes 2 hits with AP(4).","Target enemy model within 12"" takes 2 hits with AP(4).",QO6Oj
War Disciples,age-of-fantasy-quest,RilmM,Melt Armor,2,1,"Target 2 enemy units within 18"" get -1 to defense rolls next time they take hits.","Target 2 enemy units within 18"" get -1 to defense rolls next time they take hits.",fXthP
War Disciples,age-of-fantasy-quest,C_gua,Headchop,0,1,"Target enemy model within 6"" takes 1 hit with AP(4).","Target enemy model within 6"" takes 1 hit with AP(4).",QO6Oj
War Disciples,age-of-fantasy-quest,MfjtR,Fiery Defense,1,2,"Target 4 friendly units within 12"" get Counter next time they are charged.","Target 4 friendly units within 12"" get Counter next time they are charged.",iX6gb
War Disciples,age-of-fantasy-quest,lJcol,Slaughter,0,2,"Target enemy unit within 12"" takes 2 hits with AP(2).","Target enemy unit within 12"" takes 2 hits with AP(2).",cJZ_-
War Disciples,age-of-fantasy-quest,Uq_iO,Wings of War,1,3,"Target 6 friendly units within 12"" get Flying next time they move.","Target 6 friendly units within 12"" get Flying next time they move.",hULCg
War Disciples,age-of-fantasy-quest,2Xt9p,Massacre,0,3,Target enemy unit within 12” takes 6 hits.,Target enemy unit within 12” takes 6 hits.,2R1eh
Wood Elves,age-of-fantasy-quest,ktdRm,Spirit Vines,2,1,"Target 2 enemy units within 18"" get -1 to hit rolls next time they fight in melee.","Target 2 enemy units within 18"" get -1 to hit rolls next time they fight in melee.",ZPTPD
Wood Elves,age-of-fantasy-quest,na20p,Tree Stomp,0,1,"Target enemy unit within 12"" takes 1 hit with Deadly(3).","Target enemy unit within 12"" takes 1 hit with Deadly(3).",tNVWP
Wood Elves,age-of-fantasy-quest,1SF-a,Harmony,1,2,"Target 4 friendly units within 12"" get Flying next time they move.","Target 4 friendly units within 12"" get Flying next time they move.",hULCg
Wood Elves,age-of-fantasy-quest,5xlyN,Insect Attack,0,2,"Target 2 enemy units within 12"" take 2 hits each.","Target 2 enemy units within 12"" take 2 hits each.",6LaIv
Wood Elves,age-of-fantasy-quest,RjyLs,Regrowth,1,3,"Target 6 friendly units within 12"" get Regeneration next time they take wounds.","Target 6 friendly units within 12"" get Regeneration next time they take wounds.",JYSJ7
Wood Elves,age-of-fantasy-quest,tkqpV,Harvest,0,3,"Target enemy model within 12"" takes 2 hits with AP(4).","Target enemy model within 12"" takes 2 hits with AP(4).",QO6Oj
Alien Hives,grimdark-future-star-quest,KRMqK,Terror,2,1,"Target 4 enemy units within 18"" get -1 to their next morale test roll.","Target 4 enemy units within 18"" get -1 to their next morale test roll.",lz4dh
Alien Hives,grimdark-future-star-quest,G0b6O,Psychic Blast,0,1,"Target enemy unit within 12"" takes 1 hit with Deadly(3).","Target enemy unit within 12"" takes 1 hit with Deadly(3).",tNVWP
Alien Hives,grimdark-future-star-quest,wp5FZ,Animate Flora,1,2,"Target 4 friendly units within 12"" get Flying next time they move.","Target 4 friendly units within 12"" get Flying next time they move.",hULCg
Alien Hives,grimdark-future-star-quest,5wvl3,Shriek,0,2,"Target 2 enemy units within 12"" take 2 hits each.","Target 2 enemy units within 12"" take 2 hits each.",6LaIv
Alien Hives,grimdark-future-star-quest,4qi6f,Infuse Life,1,3,"Target 6 friendly units within 12"" get Regeneration next time they take wounds.","Target 6 friendly units within 12"" get Regeneration next time they take wounds.",JYSJ7
Alien Hives,grimdark-future-star-quest,K6cik,Overwhelm,0,3,"Target enemy model within 12"" takes 2 hits with AP(4).","Target enemy model within 12"" takes 2 hits with AP(4).",QO6Oj
Badland Nomads,grimdark-future-star-quest,RM692,Foresight,1,1,"Target 2 friendly units within 12"" get +1 to hit rolls next time they shoot.","Target 2 friendly units within 12"" get +1 to hit rolls next time they shoot.",YrfEc
Badland Nomads,grimdark-future-star-quest,_dWTK,Flame Breath,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
Badland Nomads,grimdark-future-star-quest,mNU5w,Protective Dome,1,2,"Target 6 friendly units within 12"" get Stealth next time they are shot at.","Target 6 friendly units within 12"" get Stealth next time they are shot at.",Dy8JS
Badland Nomads,grimdark-future-star-quest,91lMM,Expel,0,2,"Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).","Target enemy unit within 12"" takes 1 hit with AP(2) and Deadly(3).",tNVWP
Badland Nomads,grimdark-future-star-quest,djSzF,Psychic Speed,1,3,"Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.","Target 4 friendly units within 12"" get +3"" next time they Advance, or +6"" next time they Rush/Charge.",qel4I
Badland Nomads,grimdark-future-star-quest,TmuOs,Tempest,0,3,Target enemy unit within 18” takes 2 hits with Blast(3).,Target enemy unit within 18” takes 2 hits with Blast(3).,_fl49
Battle Brothers,grimdark-future-star-quest,c19YO,Blurred Sight,2,1,"Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.","Target 2 enemy units within 18"" get -1 to hit rolls next time they shoot.",EGmug
Battle Brothers,grimdark-future-star-quest,0IRkW,Psychic Terror,0,1,"Target enemy unit within 12"" takes 1 hit with AP(2).","Target enemy unit within 12"" takes 1 hit with AP(2).",cJZ_-
